id,league,season,timestamp,date,status,home,away,goals_home,goals_away,halftime_home,halftime_away
,Premier League,2024,,2024-08-16T19:00:00+00:00,FT,Manchester United,Fulham,1,0,0,0
,Premier League,2024,,2024-08-17T11:30:00+00:00,FT,Ipswich,Liverpool,0,2,0,0
,Premier League,2024,,2024-08-17T14:00:00+00:00,FT,Newcastle,Southampton,1,0,1,0
,Premier League,2024,,2024-08-17T14:00:00+00:00,FT,Arsenal,Wolves,2,0,1,0
,Premier League,2024,,2024-08-17T14:00:00+00:00,FT,Everton,Brighton,0,3,0,1
,Premier League,2024,,2024-08-17T14:00:00+00:00,FT,Nottingham Forest,Bournemouth,1,1,1,0
,Premier League,2024,,2024-08-17T16:30:00+00:00,FT,West Ham,Aston Villa,1,2,1,1
,Premier League,2024,,2024-08-18T13:00:00+00:00,FT,Brentford,Crystal Palace,2,1,1,0
,Premier League,2024,,2024-08-18T15:30:00+00:00,FT,Chelsea,Manchester City,0,2,0,1
,Premier League,2024,,2024-08-19T19:00:00+00:00,FT,Leicester,Tottenham,1,1,0,1
,Premier League,2024,,2024-08-24T11:30:00+00:00,FT,Brighton,Manchester United,2,1,1,0
,Premier League,2024,,2024-08-24T14:00:00+00:00,FT,Fulham,Leicester,2,1,1,1
,Premier League,2024,,2024-08-24T14:00:00+00:00,FT,Southampton,Nottingham Forest,0,1,0,0
,Premier League,2024,,2024-08-24T14:00:00+00:00,FT,Tottenham,Everton,4,0,2,0
,Premier League,2024,,2024-08-24T14:00:00+00:00,FT,Manchester City,Ipswich,4,1,3,1
,Premier League,2024,,2024-08-24T14:00:00+00:00,FT,Crystal Palace,West Ham,0,2,0,0
,Premier League,2024,,2024-08-24T16:30:00+00:00,FT,Aston Villa,Arsenal,0,2,0,0
,Premier League,2024,,2024-08-25T13:00:00+00:00,FT,Bournemouth,Newcastle,1,1,1,0
,Premier League,2024,,2024-08-25T13:00:00+00:00,FT,Wolves,Chelsea,2,6,2,2
,Premier League,2024,,2024-08-25T15:30:00+00:00,FT,Liverpool,Brentford,2,0,1,0
,Premier League,2024,,2024-08-31T11:30:00+00:00,FT,Arsenal,Brighton,1,1,1,0
,Premier League,2024,,2024-08-31T14:00:00+00:00,FT,Everton,Bournemouth,2,3,0,0
,Premier League,2024,,2024-08-31T14:00:00+00:00,FT,Leicester,Aston Villa,1,2,0,1
,Premier League,2024,,2024-08-31T14:00:00+00:00,FT,Brentford,Southampton,3,1,1,0
,Premier League,2024,,2024-08-31T14:00:00+00:00,FT,Ipswich,Fulham,1,1,1,1
,Premier League,2024,,2024-08-31T14:00:00+00:00,FT,Nottingham Forest,Wolves,1,1,1,1
,Premier League,2024,,2024-08-31T16:30:00+00:00,FT,West Ham,Manchester City,1,3,1,2
,Premier League,2024,,2024-09-01T12:30:00+00:00,FT,Newcastle,Tottenham,2,1,1,0
,Premier League,2024,,2024-09-01T12:30:00+00:00,FT,Chelsea,Crystal Palace,1,1,1,0
,Premier League,2024,,2024-09-01T15:00:00+00:00,FT,Manchester United,Liverpool,0,3,0,2
,Premier League,2024,,2024-09-14T11:30:00+00:00,FT,Southampton,Manchester United,0,3,0,2
,Premier League,2024,,2024-09-14T14:00:00+00:00,FT,Fulham,West Ham,1,1,1,0
,Premier League,2024,,2024-09-14T14:00:00+00:00,FT,Liverpool,Nottingham Forest,0,1,0,0
,Premier League,2024,,2024-09-14T14:00:00+00:00,FT,Manchester City,Brentford,2,1,2,1
,Premier League,2024,,2024-09-14T14:00:00+00:00,FT,Brighton,Ipswich,0,0,0,0
,Premier League,2024,,2024-09-14T14:00:00+00:00,FT,Crystal Palace,Leicester,2,2,0,1
,Premier League,2024,,2024-09-14T16:30:00+00:00,FT,Aston Villa,Everton,3,2,1,2
,Premier League,2024,,2024-09-14T19:00:00+00:00,FT,Bournemouth,Chelsea,0,1,0,0
,Premier League,2024,,2024-09-15T13:00:00+00:00,FT,Tottenham,Arsenal,0,1,0,0
,Premier League,2024,,2024-09-15T15:30:00+00:00,FT,Wolves,Newcastle,1,2,1,0
,Premier League,2024,,2024-09-21T11:30:00+00:00,FT,West Ham,Chelsea,0,3,0,2
,Premier League,2024,,2024-09-21T14:00:00+00:00,FT,Fulham,Newcastle,3,1,2,0
,Premier League,2024,,2024-09-21T14:00:00+00:00,FT,Liverpool,Bournemouth,3,0,3,0
,Premier League,2024,,2024-09-21T14:00:00+00:00,FT,Southampton,Ipswich,1,1,1,0
,Premier League,2024,,2024-09-21T14:00:00+00:00,FT,Leicester,Everton,1,1,0,1
,Premier League,2024,,2024-09-21T14:00:00+00:00,FT,Tottenham,Brentford,3,1,2,1
,Premier League,2024,,2024-09-21T14:00:00+00:00,FT,Aston Villa,Wolves,3,1,0,1
,Premier League,2024,,2024-09-21T16:30:00+00:00,FT,Crystal Palace,Manchester United,0,0,0,0
,Premier League,2024,,2024-09-22T13:00:00+00:00,FT,Brighton,Nottingham Forest,2,2,2,1
,Premier League,2024,,2024-09-22T15:30:00+00:00,FT,Manchester City,Arsenal,2,2,1,2
,Premier League,2024,,2024-09-28T11:30:00+00:00,FT,Newcastle,Manchester City,1,1,0,1
,Premier League,2024,,2024-09-28T14:00:00+00:00,FT,Arsenal,Leicester,4,2,2,0
,Premier League,2024,,2024-09-28T14:00:00+00:00,FT,Everton,Crystal Palace,2,1,0,1
,Premier League,2024,,2024-09-28T14:00:00+00:00,FT,Chelsea,Brighton,4,2,4,2
