rank,player,team,season,goals,assists,appearances
1,Mohamed Salah,Liverpool,2024,29,18,38
2,A. Isak,Newcastle,2024,23,6,34
3,E. Haaland,Manchester City,2024,22,3,32
4,C. Wood,Nottingham Forest,2024,20,3,36
5,B. Mbeumo,Brentford,2024,20,7,38
6,Y. Wissa,Brentford,2024,19,4,35
7,O. Watkins,Aston Villa,2024,16,8,38
8,Matheus Cunha,Manchester United,2024,15,6,33
9,C. Palmer,Chelsea,2024,15,8,37
10,J. Strand Larsen,Wolves,2024,14,4,35
11,J. Mateta,Crystal Palace,2024,14,2,37
12,L. Díaz,Liverpool,2024,13,5,36
13,J. Bowen,West Ham,2024,13,8,34
14,L. Delap,Ipswich,2024,12,2,37
15,R. Jiménez,Fulham,2024,12,3,38
16,J. Kluivert,Bournemouth,2024,12,6,34
17,A. Semenyo,Bournemouth,2024,11,5,37
18,B. Johnson,Tottenham,2024,11,3,33
19,K. Schade,Brentford,2024,11,2,38
